Accession,Date
AF212302,10-DEC-2001
AF376747,16-APR-2002
AJ564621,15-APR-2005
AJ627196,15-APR-2005
AY858111,05-JUL-2005
AY988601,26-SEP-2005
FJ513078,02-MAY-2011
FN869553,02-DEC-2010
JF899340,15-SEP-2012
JN808857,04-FEB-2012
JN808864,04-FEB-2012
MH396625,01-NOV-2018
MH891777,10-NOV-2018
MK575060,12-JUN-2019
MK575063,12-JUN-2019
MK575069,12-JUN-2019
MK673559,19-APR-2021
MK673560,19-APR-2021
MK673562,19-APR-2021
MK673565,19-APR-2021
MK673566,19-APR-2021
MK673567,19-APR-2021
MK673568,19-APR-2021
MK673570,19-APR-2021
MK673571,19-APR-2021
MK673576,19-APR-2021
MK673578,19-APR-2021
MK673579,19-APR-2021
MK673580,19-APR-2021
MK673581,19-APR-2021
MK673582,19-APR-2021
MK673583,19-APR-2021
MK673584,19-APR-2021
MK673585,19-APR-2021
MK673586,19-APR-2021
MK673587,19-APR-2021
MK673588,19-APR-2021
MK673589,19-APR-2021
MK673591,19-APR-2021
MK673592,19-APR-2021
MN549402,01-NOV-2020
MN549403,01-NOV-2020
MN549404,01-NOV-2020
MN549405,01-NOV-2020
MN549406,01-NOV-2020
MN549407,01-NOV-2020
MN549408,01-NOV-2020
MN549409,01-NOV-2020
MN549410,01-NOV-2020
MW535746,13-NOV-2021
